Daily Statistics
      date  total_habits  avg_habits  std_habits  min_habits  max_habits  range_habits  total_habits_score  avg_habits_score  std_habits_score  min_habits_score  max_habits_score  range_habits_score  total_score
2023-03-08          19.0    0.593750    0.756024         0.0         2.0           2.0            0.179877          0.431795          0.430462               NaN          0.734155            0.734155     2.510444
2023-03-09          24.0    0.750000    0.950382         0.0         4.0           4.0            0.414302          0.098533          0.052505               NaN          0.155583            0.155583     0.876505
2023-03-10          21.0    0.656250    0.937029         0.0         4.0           4.0            0.057795          0.219664          0.019325               NaN          0.155583            0.155583     0.607948
2023-03-11          17.0    0.531250    0.671271         0.0         2.0           2.0            0.417549          0.643926          0.641068               NaN          0.734155            0.734155     3.170853
2023-03-12          13.0    0.406250    0.665237         0.0         3.0           3.0            0.892893          1.068188          0.656062               NaN          0.289286            0.289286     3.195715
2023-03-13          27.0    0.843750    1.297874         0.0         6.0           6.0            0.770810          0.416730          0.915999               NaN          1.045320            1.045320     4.194180
2023-03-14          29.0    0.852941    0.783634         0.0         2.0           2.0            1.008482          0.447925          0.361853               NaN          0.734155            0.734155     3.286571
2022-10-01          26.0    1.300000    1.809333         0.0         8.0           8.0            0.651974          1.965287          2.186942               NaN          1.935058            1.935058     8.674320
2022-09-27          25.0    1.388889    1.613870         0.0         7.0           7.0            0.533138          2.266984          1.701229               NaN          1.490189            1.490189     7.481730
2022-09-28          13.0    0.722222    0.894792         0.0         3.0           3.0            0.892893          0.004253          0.085631               NaN          0.289286            0.289286     1.561349
2022-09-29           8.0    0.444444    0.704792         0.0         2.0           2.0            1.487072          0.938552          0.557770               NaN          0.734155            0.734155     4.451705
2022-09-30          13.0    0.684211    0.945905         0.0         4.0           4.0            0.892893          0.124763          0.041381               NaN          0.155583            0.155583     1.370202

Most Unusual Days
      date  total_score
2022-12-23    21.208423
2023-03-26    17.574884
2022-11-21    11.466028
2023-02-13    10.159993
2022-12-12     9.641150
2023-01-02     9.520500
2023-01-10     8.854651
2022-10-01     8.674320
2022-11-20     8.414245
2022-12-15     8.391549
2022-11-18     7.969056
2022-10-03     7.933550
2022-12-17     7.706264
2022-12-19     7.706264
2022-09-27     7.481730
2023-02-27     7.208115
2022-12-05     7.196445
2022-12-22     7.073315
2023-01-01     7.073315
2023-01-07     7.067156
2022-10-15     7.042689
2022-10-30     6.941224
2023-02-02     6.698492
2023-02-01     6.577257
2022-10-23     6.576415
2022-12-21     6.209676
2022-12-29     6.209676
2022-10-26     6.043218
2022-10-19     5.918334
2023-02-15     5.878938
2023-01-27     5.822339
2022-10-02     5.781497
2023-03-06     5.630900
2023-02-06     5.600683
2023-03-28     5.537789
2022-10-16     5.424382
2022-12-27     5.413560
2022-10-04     5.409536
2023-03-19     5.356021
2023-02-26     5.339325
2023-01-30     5.246187
2022-10-29     5.241891
2022-12-14     5.169248
2023-01-03     5.169248
2023-02-05     5.083637
2022-12-18     5.051874
2023-01-18     5.043470
2022-12-31     4.981397
2022-10-22     4.889159
2022-12-24     4.873321
2022-11-19     4.819147
2023-01-17     4.808686
2023-02-08     4.806009
2022-10-17     4.579852
2022-09-29     4.451705
2023-01-23     4.415691
2022-12-26     4.358353
2022-10-11     4.337707
2022-10-10     4.337707
2023-03-02     4.334002
2022-11-05     4.305116
2022-10-31     4.304942
2023-03-13     4.194180
2023-03-25     4.120683
2023-03-27     3.986925
2023-02-10     3.975642
2023-02-24     3.975642
2023-01-05     3.958026
2022-10-09     3.900646
2022-11-11     3.896407
2022-11-08     3.896407
2022-11-12     3.870566
2022-12-28     3.819647
2022-12-13     3.801836
2023-02-19     3.652472
2022-11-28     3.577223
2023-01-06     3.555429
2023-01-31     3.539458
2023-02-23     3.517765
2023-01-13     3.511462
2022-11-13     3.481046
2022-12-06     3.479943
2023-02-11     3.461788
2022-10-14     3.411018
2023-01-19     3.388131
2022-12-04     3.339540
2023-01-20     3.306471
2023-02-18     3.294878
2023-03-14     3.286571
2023-02-03     3.278929
2023-03-12     3.195715
2023-03-11     3.170853
2022-10-18     3.150892
2022-12-20     3.091734
2022-11-24     3.082877
2023-01-21     3.075107
2022-12-02     3.048541
2023-01-08     3.021250
2022-11-17     2.976239
2022-12-10     2.878512
2023-03-17     2.863829
2023-03-07     2.835774
2022-10-06     2.821947
2023-01-04     2.801852
2023-03-18     2.747550
2022-10-27     2.707084
