2025-05-15 14:30:32,887 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansIndicSiyaqNumbers-Regular.ttf', name='Noto Sans Indic Siyaq Numbers', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,887 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansGurmukhi-Bold.ttf', name='Noto Sans Gurmukhi', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,887 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSerifDogra-Regular.ttf', name='Noto Serif Dogra', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,887 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2025-05-15 14:30:32,887 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmsansquot8-oblique.otf', name='Latin Modern Sans Quotation', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-15 14:30:32,887 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansBrahmi-Regular.ttf', name='Noto Sans Brahmi', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,887 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansMeeteiMayek-Regular.ttf', name='Noto Sans Meetei Mayek', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansAdlam-Regular.ttf', name='Noto Sans Adlam', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansArabicUI-Bold.ttf', name='Noto Sans Arabic UI', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansSiddham-Regular.ttf', name='Noto Sans Siddham', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansLimbu-Regular.ttf', name='Noto Sans Limbu', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='condensed', size='scalable')) = 11.25
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansHanunoo-Regular.ttf', name='Noto Sans Hanunoo', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/freefont/FreeSerifBold.ttf', name='FreeSerif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/freefont/FreeSerifBoldItalic.ttf', name='FreeSerif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansTaiTham-Regular.ttf', name='Noto Sans Tai Tham', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/opentype/noto/NotoSerifCJK-Bold.ttc', name='Noto Serif CJK JP', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansTifinaghHawad-Regular.ttf', name='Noto Sans Tifinagh Hawad', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dustin/Swift.ttf', name='Swift', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dustin/Winks.ttf', name='Winks', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansDuployan-Regular.ttf', name='Noto Sans Duployan', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmsans12-regular.otf', name='Latin Modern Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmromancaps10-regular.otf', name='Latin Modern Roman Caps', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmmonolt10-regular.otf', name='Latin Modern Mono Light', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansNKo-Regular.ttf', name='Noto Sans NKo', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSerifDevanagari-Bold.ttf', name='Noto Serif Devanagari', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansYi-Regular.ttf', name='Noto Sans Yi', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmromandemi10-regular.otf', name='Latin Modern Roman Demi', style='normal', variant='normal', weight=600, stretch='normal', size='scalable')) = 10.24
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSerifGeorgian-Regular.ttf', name='Noto Serif Georgian', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,888 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansTamilSupplement-Regular.ttf', name='Noto Sans Tamil Supplement', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,889 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansKayahLi-Bold.ttf', name='Noto Sans Kayah Li', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,889 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmroman6-bold.otf', name='Latin Modern Roman', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,889 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansOldPermic-Regular.ttf', name='Noto Sans Old Permic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
